state,district,date,sex,age,ethnicity,population
Selangor,Gombak,2024-01-01,both,overall,overall,980.3
Selangor,Klang,2024-01-01,both,overall,overall,1174.9
Selangor,Kuala Langat,2024-01-01,both,overall,overall,326.3
Selangor,Kuala Selangor,2024-01-01,both,overall,overall,298.4
Selangor,Petaling,2024-01-01,both,overall,overall,2360.0
Selangor,Sabak Bernam,2024-01-01,both,overall,overall,110.3
Selangor,Sepang,2024-01-01,both,overall,overall,346.9
Selangor,Ulu Langat,2024-01-01,both,overall,overall,1508.1
Selangor,Ulu Selangor,2024-01-01,both,overall,overall,258.1
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2024-01-01,both,overall,overall,2067.5
W.P. Putrajaya,W.P. Putrajaya,2024-01-01,both,overall,overall,120.3
